id,item_id,img,price,shipping
5c1e5f13455f2,312384663541,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.21,$43.41
5c1e5f1346985,312386898400,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.21,$43.41
5c1e5f1347d19,312357544736,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.22,$43.41
5c1e5f1349098,312351659226,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.36,$47.17
5c1e5f134a455,271777915222,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.45,$15.75
5c1e5f134b889,312343596595,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.45,$51.18
5c1e5f134ccab,272775761508,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.45,$15.75
5c1e5f134e188,312369419366,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.53,$47.17
5c1e5f134f761,312333654525,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.64,$43.43
5c1e5f1350e76,300991670988,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.73,$13.75
5c1e5f1352a74,172755341507,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.75,$29.00
5c1e5f135466b,312389337013,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.79,$51.20
5c1e5f135610f,312361926681,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.82,$43.44
5c1e5f1357927,312361613664,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.83,$43.44
5c1e5f1359110,252748757093,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.90,"Free International Shipping"
5c1e5f135aa4f,173342707950,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.94,""""""
5c1e5f135c3a9,312341317763,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.94,$43.44
5c1e5f135dc1f,172716163203,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.95,$42.89
5c1e5f135f5b4,192209140163,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.95,$54.76
5c1e5f1360f88,192210253639,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.95,$54.76
5c1e5f13629f8,182189309090,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.95,""""""
5c1e5f13644c5,232918744900,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$8.99,$49.75
5c1e5f1365eea,163207508080,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.00,""""""
5c1e5f1367a43,400565636585,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.03,$14.75
5c1e5f136943c,300959569834,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.09,$14.75
5c1e5f136b0f9,312361430377,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.24,$51.22
5c1e5f136cbda,312383647324,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.26,$55.33
5c1e5f136e6f2,272848616041,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.45,$49.75
5c1e5f1370340,291667889768,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.49,$23.00
5c1e5f1371f29,323604060181,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.50,$7.00
5c1e5f1373cad,163206829037,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.69,$5.00
5c1e5f1375920,163206856454,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.69,$5.00
5c1e5f1377664,312366344932,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.76,$43.48
5c1e5f137939d,292767306938,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.85,$13.75
5c1e5f137b1a4,401615613798,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.85,$13.75
5c1e5f137cf49,153281908761,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.89,""""""
5c1e5f137ee31,312340069336,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.90,$43.49
5c1e5f1380dce,283102200700,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.90,$31.08
5c1e5f1383220,312393382520,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.90,$43.49
5c1e5f13851f8,192672226620,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.95,$38.94
5c1e5f1387115,272412245488,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.95,$15.95
5c1e5f1389017,253382596831,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.95,$72.26
5c1e5f138b022,253896420446,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,""""""
5c1e5f138d0ea,254001461581,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,""""""
5c1e5f138f232,253959409813,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,""""""
5c1e5f1391438,382516570924,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,$34.99
5c1e5f13936a0,382516570927,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,$34.99
5c1e5f13958e7,192751957431,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,$35.03
5c1e5f1397ac5,173681774160,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,$42.69
5c1e5f1399ca3,253364035853,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,$38.74
5c1e5f139c0b9,253496625977,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,$69.27
5c1e5f139e5b3,253429747428,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,$69.27
5c1e5f13a10fd,253979599544,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,""""""
5c1e5f13a8e14,253435588342,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,$69.27
5c1e5f13ae66c,253435597137,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,$69.27
5c1e5f13b52ac,232126524215,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,$49.75
5c1e5f13bb469,162768767461,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,"Free International Shipping"
5c1e5f13bdf89,290997413269,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$9.99,$13.75
5c1e5f13caca3,254035555929,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,"$10.00
$35.00
",""""""
5c1e5f13d1c37,183354899478,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.00,$10.00
5c1e5f13d7f12,183354907003,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.00,$70.00
5c1e5f13da560,301858399367,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.14,$13.75
5c1e5f13dcc87,312384739619,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.18,$55.37
5c1e5f13df2e7,291679264201,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.19,$13.75
